Datetime,Water Level (m)
2024-06-23 18:00:00,0.6415673
2024-06-23 19:00:00,0.9279255
2024-06-23 20:00:00,1.053664
2024-06-23 21:00:00,0.88214576
2024-06-23 22:00:00,0.6213129
2024-06-23 23:00:00,0.32420808
2024-06-24 00:00:00,0.01890257
2024-06-24 01:00:00,-0.25938126
2024-06-24 02:00:00,-0.48567024
2024-06-24 03:00:00,-0.49606854
2024-06-24 04:00:00,-0.15836248
2024-06-24 05:00:00,0.22692794
2024-06-24 06:00:00,0.70003563
2024-06-24 07:00:00,1.1845206
2024-06-24 08:00:00,1.407415
2024-06-24 09:00:00,1.4110036
2024-06-24 10:00:00,1.1355807
2024-06-24 11:00:00,0.835291
2024-06-24 12:00:00,0.52259666
2024-06-24 13:00:00,0.2015558
2024-06-24 14:00:00,-0.088970244
2024-06-24 15:00:00,-0.3157211
2024-06-24 16:00:00,-0.27112228
2024-06-24 17:00:00,0.0538865
2024-06-24 18:00:00,0.40787995
2024-06-24 19:00:00,0.78462595
2024-06-24 20:00:00,1.0524068
2024-06-24 21:00:00,1.0997483
2024-06-24 22:00:00,0.8852185
2024-06-24 23:00:00,0.5886072
2024-06-25 00:00:00,0.2834092
2024-06-25 01:00:00,-0.021717638
2024-06-25 02:00:00,-0.28764284
2024-06-25 03:00:00,-0.4770918
2024-06-25 04:00:00,-0.33070937
2024-06-25 05:00:00,-0.001528457
2024-06-25 06:00:00,0.41480812
2024-06-25 07:00:00,0.8990599
2024-06-25 08:00:00,1.33982
2024-06-25 09:00:00,1.527935
2024-06-25 10:00:00,1.400295
2024-06-25 11:00:00,1.0960279
2024-06-25 12:00:00,0.8089697
2024-06-25 13:00:00,0.45804682
2024-06-25 14:00:00,0.13817813
2024-06-25 15:00:00,-0.14771593
2024-06-25 16:00:00,-0.33701134
2024-06-25 17:00:00,-0.15122879
2024-06-25 18:00:00,0.15714519
2024-06-25 19:00:00,0.5354828
2024-06-25 20:00:00,0.8887213
2024-06-25 21:00:00,1.1774676
2024-06-25 22:00:00,1.1067452
2024-06-25 23:00:00,0.8855935
2024-06-26 00:00:00,0.57344013
2024-06-26 01:00:00,0.26938063
2024-06-26 02:00:00,-0.0307862
2024-06-26 03:00:00,-0.28312802
2024-06-26 04:00:00,-0.42054793
2024-06-26 05:00:00,-0.17043816
2024-06-26 06:00:00,0.15663715
2024-06-26 07:00:00,0.5871797
2024-06-26 08:00:00,1.0979714
2024-06-26 09:00:00,1.4108566
2024-06-26 10:00:00,1.5218339
2024-06-26 11:00:00,1.3041221
2024-06-26 12:00:00,1.0182264
2024-06-26 13:00:00,0.6961807
2024-06-26 14:00:00,0.36438334
2024-06-26 15:00:00,0.05438935
2024-06-26 16:00:00,-0.21194719
2024-06-26 17:00:00,-0.35683444
2024-06-26 18:00:00,-0.10618614
2024-06-26 19:00:00,0.20394434
2024-06-26 20:00:00,0.58348995
2024-06-26 21:00:00,0.90969735
2024-06-26 22:00:00,1.1549419
2024-06-26 23:00:00,1.0679436
2024-06-27 00:00:00,0.8419247
2024-06-27 01:00:00,0.5420422
2024-06-27 02:00:00,0.24872057
2024-06-27 03:00:00,-0.03476624
2024-06-27 04:00:00,-0.26392886
2024-06-27 05:00:00,-0.34299508
2024-06-27 06:00:00,-0.044835635
2024-06-27 07:00:00,0.28786758
2024-06-27 08:00:00,0.7116124
2024-06-27 09:00:00,1.1790245
2024-06-27 10:00:00,1.4419196
2024-06-27 11:00:00,1.46707
2024-06-27 12:00:00,1.2085958
2024-06-27 13:00:00,0.9181609
2024-06-27 14:00:00,0.60750127
2024-06-27 15:00:00,0.29415303
2024-06-27 16:00:00,0.00029030515
2024-06-27 17:00:00,-0.23352742
2024-06-27 18:00:00,-0.29232317
2024-06-27 19:00:00,0.009912726
2024-06-27 20:00:00,0.33095366
2024-06-27 21:00:00,0.7125935
2024-06-27 22:00:00,1.0184393
2024-06-27 23:00:00,1.2254499
2024-06-28 00:00:00,1.0992122
2024-06-28 01:00:00,0.87809914
2024-06-28 02:00:00,0.6091067
2024-06-28 03:00:00,0.3319674
2024-06-28 04:00:00,0.06676404
2024-06-28 05:00:00,-0.14147124
2024-06-28 06:00:00,-0.17205617
2024-06-28 07:00:00,0.12345131
2024-06-28 08:00:00,0.46328962
2024-06-28 09:00:00,0.8457148
2024-06-28 10:00:00,1.2738194
2024-06-28 11:00:00,1.4736584
2024-06-28 12:00:00,1.4125903
2024-06-28 13:00:00,1.1472272
2024-06-28 14:00:00,0.869513
2024-06-28 15:00:00,0.5607058
2024-06-28 16:00:00,0.26634485
2024-06-28 17:00:00,-0.010870586
2024-06-28 18:00:00,-0.21944563
2024-06-28 19:00:00,-0.22039358
2024-06-28 20:00:00,0.07182945
2024-06-28 21:00:00,0.3937249
2024-06-28 22:00:00,0.75026184
2024-06-28 23:00:00,1.0440377
2024-06-29 00:00:00,1.2432908
2024-06-29 01:00:00,1.1389602
2024-06-29 02:00:00,0.91406816
2024-06-29 03:00:00,0.6634163
2024-06-29 04:00:00,0.3928612
2024-06-29 05:00:00,0.1372123
2024-06-29 06:00:00,-0.0597008
2024-06-29 07:00:00,-0.07243503
2024-06-29 08:00:00,0.21543041
2024-06-29 09:00:00,0.53309596
2024-06-29 10:00:00,0.8690013
2024-06-29 11:00:00,1.2239349
2024-06-29 12:00:00,1.3606781
2024-06-29 13:00:00,1.2643656
2024-06-29 14:00:00,1.0348644
2024-06-29 15:00:00,0.7723307
2024-06-29 16:00:00,0.48017168
2024-06-29 17:00:00,0.19888274
2024-06-29 18:00:00,-0.05114571
